Model,Parameters,Accuracy,F1-Score,Log-Loss,Time
BERT-Base,lr3e5_ba8_gra1,0.4111,0.3931,1.072,1169
BERT-Base,lr3e5_ba8_gra2,0.4381,0.4197,1.0575,1134
BERT-Base,lr3e5_ba8_gra4,0.4257,0.4061,1.0676,1119
RoBERT-Base,lr3e5_ba8_gra1,0.3491,0.1725,1.0972,1250
RoBERT-Base,lr3e5_ba8_gra2,0.3491,0.1725,1.0972,1213
RoBERT-Base,lr3e5_ba8_gra4,0.4581,0.4547,1.0488,1193
RoBERT-Large,lr3e5_ba8_gra1,0.309,0.1574,1.1479,3631
RoBERT-Large,lr3e5_ba8_gra2,0.3491,0.1725,1.0983,3524
RoBERT-Large,lr3e5_ba8_gra4,0.4056,0.4057,1.069,4204
DeBERT-Base,lr3e5_ba8_gra1,0.3892,0.305,1.0823,2107
DeBERT-Base,lr3e5_ba8_gra2,0.4556,0.4529,1.0527,2052
DeBERT-Base,lr3e5_ba8_gra4,0.4514,0.4497,1.0635,2027
DeBERT-Large,lr3e5_ba8_gra1,0.3733,0.3483,1.0883,3631
DeBERT-Large,lr3e5_ba8_gra2,0.4221,0.4216,1.1014,5324
DeBERT-Large,lr3e5_ba8_gra4,0.4764,0.4741,1.0368,5255
